date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:27:06	3207/3207	---M--	200	added ('OK')	image/jpeg	etag:%2216fe222-c87-57fb65b474a0c%22	http://frenify.com/envato/marketify/html/arlo/1/img/blog/500x350.jpg	C:/Users/kais/Documents/HiSuite/test/frenify.com/envato/marketify/html/arlo/1/img/blog/500x350.jpg	(from http://frenify.com/envato/marketify/html/arlo/1/index-3.html)
14:27:08	7412/7412	---M--	200	added ('OK')	image/jpeg	etag:%2216fe21e-1cf4-57fb65a706ea4%22	http://frenify.com/envato/marketify/html/arlo/1/img/blog/1170x450.jpg	C:/Users/kais/Documents/HiSuite/test/frenify.com/envato/marketify/html/arlo/1/img/blog/1170x450.jpg	(from http://frenify.com/envato/marketify/html/arlo/1/index-3.html)
14:27:10	107201/107201	---M--	200	added ('OK')	image/jpeg	etag:%2216fe22b-1a2c1-57fb6669cf73f%22	http://frenify.com/envato/marketify/html/arlo/1/img/portfolio/1.jpg	C:/Users/kais/Documents/HiSuite/test/frenify.com/envato/marketify/html/arlo/1/img/portfolio/1.jpg	(from http://frenify.com/envato/marketify/html/arlo/1/index-3.html)
14:27:14	75755/75755	---M--	200	added ('OK')	image/jpeg	etag:%2216fe230-127eb-57fb66732746e%22	http://frenify.com/envato/marketify/html/arlo/1/img/portfolio/4.jpg	C:/Users/kais/Documents/HiSuite/test/frenify.com/envato/marketify/html/arlo/1/img/portfolio/4.jpg	(from http://frenify.com/envato/marketify/html/arlo/1/index-3.html)
14:27:14	71895/71895	---M--	200	added ('OK')	image/jpeg	etag:%2216fe231-118d7-57fb6677eb7b1%22	http://frenify.com/envato/marketify/html/arlo/1/img/portfolio/5.jpg	C:/Users/kais/Documents/HiSuite/test/frenify.com/envato/marketify/html/arlo/1/img/portfolio/5.jpg	(from http://frenify.com/envato/marketify/html/arlo/1/index-3.html)
14:27:16	47873/47873	---M--	200	added ('OK')	image/jpeg	etag:%2216fe21d-bb01-57fb65ac8fe4f%22	http://frenify.com/envato/marketify/html/arlo/1/img/blog/1.jpg	C:/Users/kais/Documents/HiSuite/test/frenify.com/envato/marketify/html/arlo/1/img/blog/1.jpg	(from http://frenify.com/envato/marketify/html/arlo/1/index-3.html)
14:27:17	41412/41412	---M--	200	added ('OK')	image/jpeg	etag:%2216fe21f-a1c4-57fb65b08aed9%22	http://frenify.com/envato/marketify/html/arlo/1/img/blog/2.jpg	C:/Users/kais/Documents/HiSuite/test/frenify.com/envato/marketify/html/arlo/1/img/blog/2.jpg	(from http://frenify.com/envato/marketify/html/arlo/1/index-3.html)
14:27:18	18591/18591	---M-Z	200	added ('OK')	application/javascript	etag:W/%2216fe2c3-489f-589608f516df1%22	http://frenify.com/envato/marketify/html/arlo/1/js/init.js	C:/Users/kais/Documents/HiSuite/test/frenify.com/envato/marketify/html/arlo/1/js/init.js	(from http://frenify.com/envato/marketify/html/arlo/1/index-3.html)
14:27:19	86659/86659	---M-Z	200	added ('OK')	application/javascript	etag:W/%2216fe2c6-15283-58960713d481c%22	http://frenify.com/envato/marketify/html/arlo/1/js/jquery.js	C:/Users/kais/Documents/HiSuite/test/frenify.com/envato/marketify/html/arlo/1/js/jquery.js	(from http://frenify.com/envato/marketify/html/arlo/1/index-3.html)
14:27:21	47844/47844	---M--	200	added ('OK')	image/jpeg	etag:%2216fe220-bae4-57fb65b3eb6c1%22	http://frenify.com/envato/marketify/html/arlo/1/img/blog/3.jpg	C:/Users/kais/Documents/HiSuite/test/frenify.com/envato/marketify/html/arlo/1/img/blog/3.jpg	(from http://frenify.com/envato/marketify/html/arlo/1/index-3.html)
14:27:24	27140/27140	---M--	200	added ('OK')	font/woff2	etag:%2216fe2d5-6a04-5896070030f5c%22	http://frenify.com/envato/marketify/html/arlo/1/css/font/xcon.woff2?4965248	C:/Users/kais/Documents/HiSuite/test/frenify.com/envato/marketify/html/arlo/1/css/font/xcon8158.woff2	(from http://frenify.com/envato/marketify/html/arlo/1/css/plugins.css)
14:27:27	32060/32060	---M--	200	added ('OK')	font/woff	etag:%2216fe2d4-7d3c-589606fd4b05d%22	http://frenify.com/envato/marketify/html/arlo/1/css/font/xcon.woff?4965248	C:/Users/kais/Documents/HiSuite/test/frenify.com/envato/marketify/html/arlo/1/css/font/xcon8158.woff	(from http://frenify.com/envato/marketify/html/arlo/1/css/plugins.css)
14:27:27	54188/54188	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2216fe2d1-d3ac-589606ef0405f%22	http://frenify.com/envato/marketify/html/arlo/1/css/font/xcon.eot?4965248	C:/Users/kais/Documents/HiSuite/test/frenify.com/envato/marketify/html/arlo/1/css/font/xcon8158.eot	(from http://frenify.com/envato/marketify/html/arlo/1/css/plugins.css)
14:27:28	71910/71910	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2216fe2d2-118e6-589606f716a82%22	http://frenify.com/envato/marketify/html/arlo/1/css/font/xcon.svg?4965248	C:/Users/kais/Documents/HiSuite/test/frenify.com/envato/marketify/html/arlo/1/css/font/xcon8158.svg	(from http://frenify.com/envato/marketify/html/arlo/1/css/plugins.css)
14:27:28	315/315	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2002%20Nov%202019%2013:27:28%20GMT	http://frenify.com/envato/marketify/html/arlo/1/css/mCSB_buttons.png	C:/Users/kais/Documents/HiSuite/test/frenify.com/envato/marketify/html/arlo/1/css/mCSB_buttons.png	(from http://frenify.com/envato/marketify/html/arlo/1/css/plugins.css)
14:27:29	315/315	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2002%20Nov%202019%2013:27:29%20GMT	http://frenify.com/envato/marketify/html/arlo/1/css/owl.video.play.png	C:/Users/kais/Documents/HiSuite/test/frenify.com/envato/marketify/html/arlo/1/css/owl.video.play.png	(from http://frenify.com/envato/marketify/html/arlo/1/css/plugins.css)
14:27:29	315/315	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2002%20Nov%202019%2013:27:29%20GMT	http://frenify.com/envato/marketify/html/arlo/1/css/overlays/02.png	C:/Users/kais/Documents/HiSuite/test/frenify.com/envato/marketify/html/arlo/1/css/overlays/02.png	(from http://frenify.com/envato/marketify/html/arlo/1/css/plugins.css)
14:27:29	304814/304814	---M-Z	200	added ('OK')	application/javascript	etag:W/%2216fe2ca-4a6ae-589607253b4df%22	http://frenify.com/envato/marketify/html/arlo/1/js/plugins.js	C:/Users/kais/Documents/HiSuite/test/frenify.com/envato/marketify/html/arlo/1/js/plugins.js	(from http://frenify.com/envato/marketify/html/arlo/1/index-3.html)
14:27:31	54036/54036	---M--	200	added ('OK')	font/ttf	etag:%2216fe2d3-d314-589606fab0863%22	http://frenify.com/envato/marketify/html/arlo/1/css/font/xcon.ttf?4965248	C:/Users/kais/Documents/HiSuite/test/frenify.com/envato/marketify/html/arlo/1/css/font/xcon8158.ttf	(from http://frenify.com/envato/marketify/html/arlo/1/css/plugins.css)
14:27:32	33021/33021	---MCZ	200	added ('OK')	text/html	etag:W/%2216fe215-80fd-589606d400cbe%22	http://frenify.com/envato/marketify/html/arlo/1/	C:/Users/kais/Documents/HiSuite/test/frenify.com/envato/marketify/html/arlo/1/index-2.html	(from http://frenify.com/envato/marketify/html/arlo/1/portfolio-single.html)
14:27:40	64443/64443	---M--	200	added ('OK')	image/jpeg	etag:%2216fe226-fbbb-57fb664866105%22	http://frenify.com/envato/marketify/html/arlo/1//img/hero/3.jpg	C:/Users/kais/Documents/HiSuite/test/frenify.com/envato/marketify/html/arlo/1/img/hero/3.jpg	(from http://frenify.com/envato/marketify/html/arlo/1/css/style.css)
14:28:29	453283/453283	---M--	200	added ('OK')	image/jpeg	etag:%2216fe2df-6eaa3-5800ba5ce3846%22	http://frenify.com/envato/marketify/html/arlo/1/img/hero/4.jpg	C:/Users/kais/Documents/HiSuite/test/frenify.com/envato/marketify/html/arlo/1/img/hero/4.jpg	(from http://frenify.com/envato/marketify/html/arlo/1/portfolio-single.html)
14:28:30	475017/475017	---M--	200	added ('OK')	image/jpeg	etag:%2216fe224-73f89-57fb663469a7b%22	http://frenify.com/envato/marketify/html/arlo/1/img/hero/1.jpg	C:/Users/kais/Documents/HiSuite/test/frenify.com/envato/marketify/html/arlo/1/img/hero/1.jpg	(from http://frenify.com/envato/marketify/html/arlo/1/portfolio-single.html)
14:28:43	812072/812072	---M--	200	added ('OK')	image/jpeg	etag:%2216fe225-c6428-57fb665ca7ced%22	http://frenify.com/envato/marketify/html/arlo/1//img/hero/2.jpg	C:/Users/kais/Documents/HiSuite/test/frenify.com/envato/marketify/html/arlo/1/img/hero/2.jpg	(from http://frenify.com/envato/marketify/html/arlo/1/css/style.css)
